"app_download_key","platform","download_ts","user_id","signup_ts","age_range"
"58bec37ab818df39219ee36c124a1de9","ios","2021-01-01 01:16:44","100001","2021-01-01 19:14:44","25-34"
"c320ac72fe5e8cbfcf58458c36213ba5","ios","2021-01-01 01:51:58","100002","2021-01-01 11:49:58","35-44"
"ea11fb90284aa1c06933805f43c3e87a","ios","2021-01-01 02:12:14","100003","2021-01-01 18:34:14","25-34"
"d5d1b4f516ab497c1d93ca211007f78d","ios","2021-01-01 02:30:52","100004","2021-01-01 12:30:52","35-44"
"93eccad090caf11c1ce7eda4ec57b547","ios","2021-01-01 04:33:15","100005","2021-01-01 23:33:15","35-44"
"23fb2fd6449af42608771509a2964086","ios","2021-01-01 04:41:09","100006","2021-01-01 12:59:09","25-34"
"9a6b5bf6566b4bc0f8f12e1d673d6570","ios","2021-01-01 04:54:19","100007","2021-01-01 10:13:19","18-24"
"02650b7d25db1c4f242e6e84e93828a9","ios","2021-01-01 05:06:30","100008","2021-01-01 05:23:30","18-24"
"647f90c8cdd32a858ef5d82bccf6362c","android","2021-01-01 05:56:01","100009","2021-01-02 23:19:01","25-34"
"9e5d1aa2fb6d7d58e39fda3f6f53becc","ios","2021-01-01 06:19:03","100010","2021-01-01 22:58:03","35-44"
"e2c0515104a69ee0559d7ce026ce69e1","ios","2021-01-01 08:13:24","100011","2021-01-02 01:05:24","25-34"
"3e268d7a5aea3cc243a77bae9cdd0e6d","android","2021-01-01 10:03:08","100013","2021-01-02 01:52:08","35-44"
"ff07866e2b48e68051ae5600404215e2","ios","2021-01-01 10:12:13","100014","2021-01-03 00:18:13","35-44"
"4d3efe4d25dd1cbb5b22cc55bd2a1f69","ios","2021-01-01 10:29:14","100015","2021-01-02 06:20:14","25-34"
"ca98e06fc2f9dcec2a683d49536f5880","ios","2021-01-01 12:25:19","100017","2021-01-02 11:07:19","25-34"
"56c84976470ad5455636dc30b4c3ee30","ios","2021-01-01 13:31:55","100019","2021-01-03 04:42:55","35-44"
"e02bc67c7b9bb8ed141990b20d11f197","ios","2021-01-01 14:05:38","100020","2021-01-02 23:03:38","35-44"
"4f7fd10f7e89e388a9569d37445fd1a1","ios","2021-01-01 14:45:12","100022","2021-01-02 17:15:12","25-34"
"638d4ad6393fbbc45010f73e84aa2ec4","android","2021-01-01 15:45:40","100023","2021-01-02 10:19:40","25-34"
"ba051e702a73c3b012c9d31926ee628d","ios","2021-01-01 16:15:48","100024","2021-01-01 16:17:48","25-34"
"15a0d41f52c54e6590ffa50c5fe5ac70","android","2021-01-01 16:21:46","100025","2021-01-01 22:40:46","25-34"
"5abd38b7c69c5f71c9be3112be15cfc0","ios","2021-01-01 16:23:05","100026","2021-01-02 02:24:05","45-54"
"e76c026ae76e4bca96e74b79bde71f90","ios","2021-01-01 16:56:10","100027","2021-01-02 06:16:10","45-54"
"b7bbd2fd74a5b7e820774e4f1e1dabf5","android","2021-01-01 18:11:59","100029","2021-01-03 09:55:59","45-54"
"b4984a3fedd0b2540c634c12fbaffbab","ios","2021-01-01 18:48:52","100030","2021-01-03 02:12:52","25-34"
"7c43f42eecdbff8750d4fcb192e3fa2f","android","2021-01-01 19:38:04","100032","2021-01-03 17:37:04","25-34"
"7f089cdbcf8cf31ddeb395a34c9bf3fb","ios","2021-01-01 19:50:45","100033","2021-01-02 13:15:45","25-34"
"bbfa6aeccdaf5795dedada1bad3ecc1c","android","2021-01-01 19:54:28","100034","2021-01-03 14:58:28","35-44"
"d7d9fb70d31c0f9290f2c1e5f184f376","web","2021-01-01 20:16:09","100036","2021-01-02 10:58:09","25-34"
"8f1f0fada47f31f3a69572e91ea651b4","android","2021-01-01 21:25:02","100037","2021-01-03 14:33:02","35-44"
"3bbae98252a6c67608c9d632e0a20321","ios","2021-01-01 21:27:15","100038","2021-01-02 20:15:15","35-44"
"ccf3ff3c8d52f74e81e28f891362ccde","ios","2021-01-01 21:39:03","100039","2021-01-02 20:24:03","35-44"
"b16f0b40e6abe9fd971dc08099e6bf2e","android","2021-01-01 22:22:24","100040","2021-01-02 08:51:24","35-44"
"ac6f9d14920a06b119058ad6864b15da","ios","2021-01-01 22:30:00","100041","2021-01-03 09:55:00","35-44"
"4ce8bf1915cb3e9909b420029584eb68","ios","2021-01-01 22:34:50","100042","2021-01-02 03:39:50","35-44"
"5db52f28aedf25024a0e7258a0da0f09","ios","2021-01-01 22:46:55","100043","2021-01-03 05:24:55","25-34"
"4e988575159f567c4a4ce3c1879feb0c","ios","2021-01-01 23:48:53","100045","2021-01-02 17:16:53","35-44"
"0c5d036a708acec4fa609d785b6b55b3","ios","2021-01-02 00:52:22","100046","2021-01-02 23:21:22","18-24"
"b6aaa182a0ac314c81c574ea8f01db88","web","2021-01-02 01:03:29","100047","2021-01-02 17:49:29","35-44"
"4835782d8997358e32d38974b97e7742","android","2021-01-02 01:04:40","100048","2021-01-03 10:46:40","45-54"
"d8eb6774b50fa1478602f5562db66384","ios","2021-01-02 01:36:40","100049","2021-01-02 18:08:40","35-44"
"03152fea85d534b1716da985c9d35615","web","2021-01-02 02:07:04","100050","2021-01-03 21:33:04","35-44"
"19382ac84a1e6779248a873a82cfa574","ios","2021-01-02 02:26:47","100051","2021-01-03 15:56:47","18-24"
"629d910c066bbb21d1a05c97fbccb4ab","android","2021-01-02 02:33:18","100053","2021-01-02 22:55:18","18-24"
"aecce797692307808a9778b5c054efda","android","2021-01-02 02:33:52","100054","2021-01-02 08:24:52","25-34"
"4d1c06a04a9b24097f0e8be3e3da457d","ios","2021-01-02 02:56:15","100055","2021-01-02 04:38:15","25-34"
"9926f8d0f60f4f1e3f8ea0ccd7f94a40","android","2021-01-02 03:55:11","100057","2021-01-02 19:25:11","45-54"
"ee38796263dc7621841e45e6f6331032","ios","2021-01-02 04:10:54","100058","2021-01-04 00:04:54","35-44"
"81d4a93e8f57f97b3f74641d56f58c9a","ios","2021-01-02 04:24:21","100059","2021-01-02 18:04:21","25-34"
"90f6212f237009ac1d2ed56125d5af65","ios","2021-01-02 07:20:55","100063","2021-01-03 04:48:55","18-24"
"d1d2f16c4a8bad7df5a281e6aa859d2e","ios","2021-01-02 07:49:14","100064","2021-01-04 03:32:14","45-54"
"dff662e75688b58dbbfd606968027021","android","2021-01-02 07:53:32","100065","2021-01-04 07:11:32","18-24"
"8240c9624caaa6639bf0d744d93cd501","web","2021-01-02 08:33:31","100066","2021-01-03 09:05:31","45-54"
"a8a327a534e922692689d6bb5b561d9f","ios","2021-01-02 08:40:29","100067","2021-01-03 00:32:29","35-44"
